x,y,goal_x,goal_y,distance,spend_time
-6.23,-2.88,-6.23,8.49,37.19,84.92
-6.18,-2.87
-6.11,-2.87
-6.01,-2.87
-5.92,-2.86
-5.82,-2.84
-5.72,-2.81
-5.62,-2.78
-5.52,-2.74
-5.43,-2.69
-5.37,-2.62
-5.31,-2.53
-5.25,-2.45
-5.20,-2.36
-5.14,-2.29
-5.09,-2.21
-5.04,-2.14
-4.97,-2.06
-4.91,-2.00
-4.83,-1.94
-4.79,-1.91
-4.72,-1.86
-4.63,-1.81
-4.53,-1.78
-4.42,-1.77
-4.31,-1.76
-4.20,-1.77
-4.09,-1.78
-3.99,-1.80
-3.89,-1.83
-3.79,-1.86
-3.69,-1.90
-3.60,-1.95
-3.51,-2.01
-3.42,-2.06
-3.34,-2.13
-3.27,-2.20
-3.20,-2.28
-3.13,-2.37
-3.07,-2.44
-2.99,-2.53
-2.91,-2.60
-2.85,-2.67
-2.75,-2.73
-2.65,-2.78
-2.55,-2.84
-2.43,-2.88
-2.32,-2.91
-2.21,-2.94
-2.10,-2.94
-1.99,-2.94
-1.89,-2.93
-1.78,-2.90
-1.69,-2.85
-1.62,-2.79
-1.55,-2.72
-1.50,-2.65
-1.45,-2.56
-1.41,-2.48
-1.38,-2.40
-1.33,-2.31
-1.30,-2.23
-1.24,-2.16
-1.16,-2.10
-1.07,-2.05
-0.99,-2.02
-0.91,-1.99
-0.81,-1.97
-0.73,-1.96
-0.61,-1.96
-0.50,-1.95
-0.42,-1.95
-0.32,-1.95
-0.22,-1.95
-0.13,-1.95
-0.04,-1.95
0.01,-1.95
0.10,-1.95
0.19,-1.95
0.29,-1.95
0.39,-1.95
0.54,-1.96
0.59,-1.96
0.68,-1.97
0.76,-1.97
0.85,-1.97
0.93,-1.98
1.02,-1.99
1.12,-1.99
1.21,-2.00
1.29,-2.00
1.40,-2.00
1.51,-2.01
1.62,-2.01
1.74,-2.01
1.84,-2.01
1.96,-2.01
2.05,-2.00
2.14,-2.00
2.24,-2.00
2.33,-1.99
2.41,-1.99
2.52,-1.98
2.61,-1.98
2.72,-1.98
2.83,-1.99
2.93,-1.99
3.04,-2.01
3.13,-2.02
3.23,-2.04
3.33,-2.05
3.42,-2.07
3.52,-2.08
3.62,-2.08
3.73,-2.09
3.82,-2.08
3.92,-2.07
4.01,-2.06
4.11,-2.05
4.19,-2.03
4.28,-2.02
4.38,-1.99
4.47,-1.98
4.56,-1.97
4.66,-1.96
4.76,-1.96
4.86,-1.95
4.95,-1.95
5.05,-1.94
5.15,-1.94
5.24,-1.94
5.33,-1.93
5.42,-1.91
5.51,-1.88
5.59,-1.85
5.68,-1.80
5.77,-1.76
5.80,-1.73
5.87,-1.67
5.94,-1.60
6.01,-1.53
6.08,-1.46
6.15,-1.40
6.22,-1.31
6.28,-1.24
6.34,-1.17
6.41,-1.10
6.46,-1.02
6.51,-0.92
6.55,-0.84
6.56,-0.75
6.57,-0.65
6.57,-0.57
6.56,-0.47
6.56,-0.38
6.55,-0.29
6.54,-0.19
6.54,-0.11
6.52,-0.02
6.51,0.06
6.51,0.14
6.51,0.23
6.52,0.33
6.53,0.42
6.55,0.50
6.57,0.60
6.59,0.69
6.62,0.77
6.64,0.86
6.64,0.95
6.65,1.05
6.66,1.14
6.66,1.24
6.66,1.33
6.66,1.43
6.64,1.52
6.62,1.61
6.60,1.70
6.58,1.79
6.57,1.89
6.54,1.98
6.52,2.07
6.51,2.16
6.49,2.25
6.49,2.33
6.48,2.43
6.48,2.52
6.48,2.61
6.48,2.69
6.48,2.79
6.48,2.88
6.48,2.98
6.49,3.08
6.49,3.18
6.48,3.27
6.48,3.37
6.47,3.46
6.46,3.51
6.45,3.65
6.45,3.70
6.43,3.79
6.42,3.89
6.41,3.99
6.39,4.09
6.39,4.18
6.38,4.28
6.38,4.37
6.37,4.46
6.38,4.55
6.37,4.65
6.38,4.75
6.38,4.85
6.38,4.94
